,SerNo,PSNo,Data,GoodNo,GoodID,Num,Price
191,200304130184012.0,1019.0,20030413.0,3.0,1032865.0,1.0,3.8
192,200304130184012.0,1019.0,20030413.0,4.0,1034634.0,1.0,6.2
193,200304130184012.0,1019.0,20030413.0,5.0,1018304.0,1.0,13.6
194,200304130184012.0,1019.0,20030413.0,6.0,1018309.0,1.0,13.6
195,200304130184012.0,1019.0,20030413.0,7.0,1001613.0,1.0,9.1
196,200304130186012.0,1019.0,20030413.0,1.0,1038460.0,1.0,2.7
197,200304130186012.0,1019.0,20030413.0,2.0,1037090.0,3.0,1.9
198,200304130186012.0,1019.0,20030413.0,3.0,1001090.0,3.0,1.9
199,200304130187012.0,1019.0,20030413.0,1.0,1048626.0,2.0,6.0
200,200304130188012.0,1019.0,20030413.0,1.0,1027791.0,10.0,2.3
201,200304130188012.0,1019.0,20030413.0,2.0,1041156.0,1.0,2.5
202,200304130188012.0,1019.0,20030413.0,3.0,1040080.0,4.0,2.8
203,200304130188012.0,1019.0,20030413.0,4.0,1021119.0,1.0,27.7
204,200304130188012.0,1019.0,20030413.0,5.0,1044389.0,1.0,7.2
205,200304130188012.0,1019.0,20030413.0,6.0,1021188.0,4.0,2.1
206,200304130188012.0,1019.0,20030413.0,7.0,1040102.0,2.0,4.7
207,200304130188012.0,1019.0,20030413.0,8.0,1043205.0,4.0,3.6
208,200304130188012.0,1019.0,20030413.0,9.0,1003698.0,2.0,8.5
209,200304130188012.0,1019.0,20030413.0,10.0,1038140.0,1.0,15.8
210,200304130188012.0,1019.0,20030413.0,11.0,1007484.0,1.0,34.3
211,200304130188012.0,1019.0,20030413.0,12.0,1040397.0,1.0,27.8
212,200304130189012.0,1019.0,20030413.0,1.0,1025371.0,0.152,87.0
213,200304130189012.0,1019.0,20030413.0,2.0,1044156.0,1.0,19.0
214,200304130189012.0,1019.0,20030413.0,3.0,1007480.0,1.0,2.9
215,200304130189012.0,1019.0,20030413.0,4.0,1006521.0,1.0,2.6
216,200304130189012.0,1019.0,20030413.0,5.0,1023623.0,1.0,1.9
217,200304130189012.0,1019.0,20030413.0,6.0,1008767.0,0.104,38.0
218,200304130189012.0,1019.0,20030413.0,7.0,1010138.0,2.0,0.9
219,200304130190012.0,1019.0,20030413.0,1.0,1026663.0,1.0,11.0
220,200304130191012.0,1019.0,20030413.0,1.0,1010823.0,1.0,41.8
221,200304130191012.0,1019.0,20030413.0,2.0,1042152.0,1.0,6.9
222,200304130191012.0,1019.0,20030413.0,3.0,1044430.0,2.0,1.0
223,200304130191012.0,1019.0,20030413.0,4.0,1012113.0,1.0,3.0
224,200304130191012.0,1019.0,20030413.0,5.0,1012299.0,1.0,3.0
225,200304130191012.0,1019.0,20030413.0,6.0,1012292.0,2.0,3.0
226,200304130191012.0,1019.0,20030413.0,7.0,1002271.0,2.0,6.6
227,200304130192012.0,1019.0,20030413.0,1.0,1010097.0,0.648,21.2
228,200304130192012.0,1019.0,20030413.0,2.0,1041141.0,1.0,3.1
229,200304130192012.0,1019.0,20030413.0,3.0,1014075.0,1.0,2.9
230,200304130193012.0,1019.0,20030413.0,1.0,1000113.0,1.0,3.5
231,200304130193012.0,1019.0,20030413.0,2.0,1044396.0,1.0,6.0
232,200304130193012.0,1019.0,20030413.0,3.0,1010481.0,1.0,10.4
233,200304130193012.0,1019.0,20030413.0,4.0,1002753.0,1.0,6.0
